"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/23/2024","1/23/2024","1/24/2024","SPY","SPY 1/23/2024 Call $484.00","OASGN","1","",""
"1/23/2024","1/23/2024","1/25/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Sell","100","$484.00","$48,399.59"
"1/23/2024","1/23/2024","1/24/2024","SPY","SPY 1/23/2024 Call $484.00","STO","1","$0.58","$57.95"
"1/22/2024","1/22/2024","1/23/2024","SPY","SPY 1/22/2024 Put $484.00","OASGN","1","",""
"1/22/2024","1/22/2024","1/24/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Buy","100","$484.00","($48,400.00)"
"1/22/2024","1/22/2024","1/23/2024","SPY","SPY 1/22/2024 Put $484.00","STO","1","$0.84","$83.95"
"1/19/2024","1/19/2024","1/22/2024","SPY","SPY 1/19/2024 Call $482.00","OASGN","1","",""
"1/19/2024","1/19/2024","1/23/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Sell","100","$482.00","$48,199.59"
"1/19/2024","1/19/2024","1/22/2024","SPY","SPY 1/19/2024 Call $482.00","STO","1","$0.46","$45.95"
"1/18/2024","1/18/2024","1/19/2024","SPY","Option Expiration for SPY 1/18/2024 Call $477.00","OEXP","1","",""
"1/18/2024","1/18/2024","1/19/2024","SPY","SPY 1/18/2024 Call $477.00","STO","1","$0.02","$1.95"
"1/17/2024","1/17/2024","1/18/2024","SPY","Option Expiration for SPY 1/17/2024 Call $477.00","OEXP","1","",""
"1/17/2024","1/17/2024","1/18/2024","SPY","SPY 1/17/2024 Call $477.00","STO","1","$0.03","$2.95"
"1/16/2024","1/16/2024","1/17/2024","SPY","Option Expiration for SPY 1/16/2024 Call $477.00","OEXP","1","",""
"1/16/2024","1/16/2024","1/17/2024","SPY","SPY 1/16/2024 Call $477.00","STO","1","$0.48","$47.95"
"1/12/2024","1/12/2024","1/16/2024","SPY","Option Expiration for SPY 1/12/2024 Call $477.00","OEXP","1","",""
"1/12/2024","1/12/2024","1/16/2024","SPY","SPY 1/12/2024 Call $477.00","STO","1","$1.55","$154.95"
"1/11/2024","1/11/2024","1/12/2024","SPY","SPY 1/11/2024 Put $477.00","OASGN","1","",""
"1/11/2024","1/11/2024","1/16/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Buy","100","$477.00","($47,700.00)"
"1/11/2024","1/11/2024","1/12/2024","SPY","SPY 1/11/2024 Put $477.00","STO","1","$1.68","$167.95"
"1/10/2024","1/10/2024","1/11/2024","SPY","Option Expiration for SPY 1/10/2024 Put $474.00","OEXP","1","",""
"1/10/2024","1/10/2024","1/11/2024","SPY","SPY 1/10/2024 Put $474.00","STO","1","$0.45","$44.95"
"1/9/2024","1/9/2024","1/10/2024","SPY","Option Expiration for SPY 1/9/2024 Put $470.00","OEXP","1","",""
"1/9/2024","1/9/2024","1/10/2024","SPY","SPY 1/9/2024 Put $470.00","STO","1","$0.30","$29.95"
"1/8/2024","1/8/2024","1/9/2024","SPY","SPY 1/8/2024 Call $473.00","OASGN","1","",""
"1/8/2024","1/8/2024","1/10/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Sell","100","$473.00","$47,299.60"
"1/8/2024","1/8/2024","1/8/2024","QQQ","Stock Lending","SLIP","","","$0.01"
"1/8/2024","1/8/2024","1/9/2024","SPY","SPY 1/8/2024 Call $473.00","STO","1","$0.04","$3.95"
"1/3/2024","1/3/2024","1/4/2024","SPY","Option Expiration for SPY 1/3/2024 Call $473.00","OEXP","1","",""
"1/3/2024","1/3/2024","1/4/2024","SPY","SPY 1/3/2024 Call $473.00","STO","1","$0.17","$16.95"
"1/2/2024","1/2/2024","1/3/2024","SPY","Option Expiration for SPY 1/2/2024 Call $475.00","OEXP","1","",""
"1/2/2024","1/2/2024","1/3/2024","SPY","SPY 1/2/2024 Call $475.00","STO","1","$0.11","$10.95"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
